PassengerId,Age,Age_Imputed,Embarked,Embarked_Imputed,Fare,Fare_Imputed,Name,Parch,Pclass,Sex,SibSp,Survived,Ticket,Title,TitleBin,split
1,22.0,False,S,False,7.25,False,"Braund, Mr. Owen Harris",0,3,male,1,0.0,A/5 21171,Mr,Mr,train
2,38.0,False,C,False,71.2833,False,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",0,1,female,1,1.0,PC 17599,Mrs,Mrs,train
3,26.0,False,S,False,7.925,False,"Heikkinen, Miss. Laina",0,3,female,0,1.0,STON/O2. 3101282,Miss,Miss,train
4,35.0,False,S,False,53.1,False,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",0,1,female,1,1.0,113803,Mrs,Mrs,train
5,35.0,False,S,False,8.05,False,"Allen, Mr. William Henry",0,3,male,0,0.0,373450,Mr,Mr,train
6,30.0,True,Q,False,8.4583,False,"Moran, Mr. James",0,3,male,0,0.0,330877,Mr,Mr,train
7,54.0,False,S,False,51.8625,False,"McCarthy, Mr. Timothy J",0,1,male,0,0.0,17463,Mr,Mr,train
8,2.0,False,S,False,21.075,False,"Palsson, Master. Gosta Leonard",1,3,male,3,0.0,349909,Master,Master,train
9,27.0,False,S,False,11.1333,False,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",2,3,female,0,1.0,347742,Mrs,Mrs,train
10,14.0,False,C,False,30.0708,False,"Nasser, Mrs. Nicholas (Adele Achem)",0,2,female,1,1.0,237736,Mrs,Mrs,train
11,4.0,False,S,False,16.7,False,"Sandstrom, Miss. Marguerite Rut",1,3,female,1,1.0,PP 9549,Miss,Miss,train
12,58.0,False,S,False,26.55,False,"Bonnell, Miss. Elizabeth",0,1,female,0,1.0,113783,Miss,Miss,train
13,20.0,False,S,False,8.05,False,"Saundercock, Mr. William Henry",0,3,male,0,0.0,A/5. 2151,Mr,Mr,train
14,39.0,False,S,False,31.275,False,"Andersson, Mr. Anders Johan",5,3,male,1,0.0,347082,Mr,Mr,train
15,14.0,False,S,False,7.8542,False,"Vestrom, Miss. Hulda Amanda Adolfina",0,3,female,0,0.0,350406,Miss,Miss,train
16,55.0,False,S,False,16.0,False,"Hewlett, Mrs. (Mary D Kingcome)",0,2,female,0,1.0,248706,Mrs,Mrs,train
17,2.0,False,Q,False,29.125,False,"Rice, Master. Eugene",1,3,male,4,0.0,382652,Master,Master,train
18,30.0,True,S,False,13.0,False,"Williams, Mr. Charles Eugene",0,2,male,0,1.0,244373,Mr,Mr,train
19,31.0,False,S,False,18.0,False,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",0,3,female,1,0.0,345763,Mrs,Mrs,train
20,36.0,True,C,False,7.225,False,"Masselmani, Mrs. Fatima",0,3,female,0,1.0,2649,Mrs,Mrs,train
21,35.0,False,S,False,26.0,False,"Fynney, Mr. Joseph J",0,2,male,0,0.0,239865,Mr,Mr,train
22,34.0,False,S,False,13.0,False,"Beesley, Mr. Lawrence",0,2,male,0,1.0,248698,Mr,Mr,train
23,15.0,False,Q,False,8.0292,False,"McGowan, Miss. Anna ""Annie""",0,3,female,0,1.0,330923,Miss,Miss,train
24,28.0,False,S,False,35.5,False,"Sloper, Mr. William Thompson",0,1,male,0,1.0,113788,Mr,Mr,train
25,8.0,False,S,False,21.075,False,"Palsson, Miss. Torborg Danira",1,3,female,3,0.0,349909,Miss,Miss,train
26,38.0,False,S,False,31.3875,False,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",5,3,female,1,1.0,347077,Mrs,Mrs,train
27,30.0,True,C,False,7.225,False,"Emir, Mr. Farred Chehab",0,3,male,0,0.0,2631,Mr,Mr,train
28,19.0,False,S,False,263.0,False,"Fortune, Mr. Charles Alexander",2,1,male,3,0.0,19950,Mr,Mr,train
29,22.0,True,Q,False,7.8792,False,"O'Dwyer, Miss. Ellen ""Nellie""",0,3,female,0,1.0,330959,Miss,Miss,train
30,30.0,True,S,False,7.8958,False,"Todoroff, Mr. Lalio",0,3,male,0,0.0,349216,Mr,Mr,train
31,40.0,False,C,False,27.7208,False,"Uruchurtu, Don. Manuel E",0,1,male,0,0.0,PC 17601,Don,Mr,train
32,36.0,True,C,False,146.5208,False,"Spencer, Mrs. William Augustus (Marie Eugenie)",0,1,female,1,1.0,PC 17569,Mrs,Mrs,train
33,22.0,True,Q,False,7.75,False,"Glynn, Miss. Mary Agatha",0,3,female,0,1.0,335677,Miss,Miss,train
34,66.0,False,S,False,10.5,False,"Wheadon, Mr. Edward H",0,2,male,0,0.0,C.A. 24579,Mr,Mr,train
35,28.0,False,C,False,82.1708,False,"Meyer, Mr. Edgar Joseph",0,1,male,1,0.0,PC 17604,Mr,Mr,train
36,42.0,False,S,False,52.0,False,"Holverson, Mr. Alexander Oskar",0,1,male,1,0.0,113789,Mr,Mr,train
37,30.0,True,C,False,7.2292,False,"Mamee, Mr. Hanna",0,3,male,0,1.0,2677,Mr,Mr,train
38,21.0,False,S,False,8.05,False,"Cann, Mr. Ernest Charles",0,3,male,0,0.0,A./5. 2152,Mr,Mr,train
39,18.0,False,S,False,18.0,False,"Vander Planke, Miss. Augusta Maria",0,3,female,2,0.0,345764,Miss,Miss,train
40,14.0,False,C,False,11.2417,False,"Nicola-Yarred, Miss. Jamila",0,3,female,1,1.0,2651,Miss,Miss,train
41,40.0,False,S,False,9.475,False,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",0,3,female,1,0.0,7546,Mrs,Mrs,train
42,27.0,False,S,False,21.0,False,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",0,2,female,1,0.0,11668,Mrs,Mrs,train
43,30.0,True,C,False,7.8958,False,"Kraeff, Mr. Theodor",0,3,male,0,0.0,349253,Mr,Mr,train
44,3.0,False,C,False,41.5792,False,"Laroche, Miss. Simonne Marie Anne Andree",2,2,female,1,1.0,SC/Paris 2123,Miss,Miss,train
45,19.0,False,Q,False,7.8792,False,"Devaney, Miss. Margaret Delia",0,3,female,0,1.0,330958,Miss,Miss,train
46,30.0,True,S,False,8.05,False,"Rogers, Mr. William John",0,3,male,0,0.0,S.C./A.4. 23567,Mr,Mr,train
47,30.0,True,Q,False,15.5,False,"Lennon, Mr. Denis",0,3,male,1,0.0,370371,Mr,Mr,train
48,22.0,True,Q,False,7.75,False,"O'Driscoll, Miss. Bridget",0,3,female,0,1.0,14311,Miss,Miss,train
49,30.0,True,C,False,21.6792,False,"Samaan, Mr. Youssef",0,3,male,2,0.0,2662,Mr,Mr,train
50,18.0,False,S,False,17.8,False,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",0,3,female,1,0.0,349237,Mrs,Mrs,train
51,7.0,False,S,False,39.6875,False,"Panula, Master. Juha Niilo",1,3,male,4,0.0,3101295,Master,Master,train
52,21.0,False,S,False,7.8,False,"Nosworthy, Mr. Richard Cater",0,3,male,0,0.0,A/4. 39886,Mr,Mr,train
53,49.0,False,C,False,76.7292,False,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",0,1,female,1,1.0,PC 17572,Mrs,Mrs,train
54,29.0,False,S,False,26.0,False,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",0,2,female,1,1.0,2926,Mrs,Mrs,train
55,65.0,False,C,False,61.9792,False,"Ostby, Mr. Engelhart Cornelius",1,1,male,0,0.0,113509,Mr,Mr,train
56,30.0,True,S,False,35.5,False,"Woolner, Mr. Hugh",0,1,male,0,1.0,19947,Mr,Mr,train
57,21.0,False,S,False,10.5,False,"Rugg, Miss. Emily",0,2,female,0,1.0,C.A. 31026,Miss,Miss,train
58,28.5,False,C,False,7.2292,False,"Novel, Mr. Mansouer",0,3,male,0,0.0,2697,Mr,Mr,train
59,5.0,False,S,False,27.75,False,"West, Miss. Constance Mirium",2,2,female,1,1.0,C.A. 34651,Miss,Miss,train
60,11.0,False,S,False,46.9,False,"Goodwin, Master. William Frederick",2,3,male,5,0.0,CA 2144,Master,Master,train
61,22.0,False,C,False,7.2292,False,"Sirayanian, Mr. Orsen",0,3,male,0,0.0,2669,Mr,Mr,train
62,38.0,False,S,True,80.0,False,"Icard, Miss. Amelie",0,1,female,0,1.0,113572,Miss,Miss,train
63,45.0,False,S,False,83.475,False,"Harris, Mr. Henry Birkhardt",0,1,male,1,0.0,36973,Mr,Mr,train
64,4.0,False,S,False,27.9,False,"Skoog, Master. Harald",2,3,male,3,0.0,347088,Master,Master,train
65,30.0,True,C,False,27.7208,False,"Stewart, Mr. Albert A",0,1,male,0,0.0,PC 17605,Mr,Mr,train
66,6.0,True,C,False,15.2458,False,"Moubarek, Master. Gerios",1,3,male,1,1.0,2661,Master,Master,train
